AÑO	SM DIARIO ($)	% AUMENTO ANUAL SM	RELACIÓN SM/UMAS	SALARIO MÍNIMO MENSUAL (30.4 DÍAS)	SALARIO MÁXIMO MENSUAL PARA COTIZAR ANTE EL IMSS (25 UMAS)	SALARIO MÁXIMO DIARIO	PENSIÓN MÁXIMA MENSUAL PROMEDIO DE 30.4 DÍAS	PENSIÓN MÍNIMA GARANTIZADA
2015	$70.10	0.0%	1.00	 $2,132.21 	 $53,276.00 	 $1,752.50 	 $59,168.78 	 $2,366.75 
2016	$73.04	4.2%	1.00	 $2,221.63 	 $55,510.40 	 $1,826.00 	 $61,650.33 	 $2,466.01 
2017	$80.04	9.6%	1.07	 $2,434.55 	 $57,068.40 	 $1,877.25 	 $63,380.65 	 $2,702.35 
2018	$88.36	10.4%	1.10	 $2,687.62 	 $61,256.00 	 $2,015.00 	 $68,031.44 	 $2,983.25 
2019	$102.68	16.2%	1.22	 $3,123.18 	 $64,212.40 	 $2,112.25 	 $71,314.84 	 $3,466.73 
2020	$123.22	20.0%	1.42	 $3,747.94 	 $66,028.80 	 $2,172.00 	 $73,332.15 	 $4,160.22 
2021	$141.70	15.0%	1.58	 $4,310.04 	 $68,111.20 	 $2,240.50 	 $75,644.88 	 $4,784.15 
2022	$172.87	22.0%	1.80	 $5,258.13 	 $73,127.20 	 $2,405.50 	 $81,215.69 	 $5,836.52 
2023	$207.44	20.0%	2.00	 $6,309.63 	 $78,842.40 	 $2,593.50 	 $87,563.04 	 $7,003.69 
2024	$248.93	20.0%	2.29	 $7,571.62 	 $82,513.20 	 $2,714.25 	 $91,639.87 	 $8,404.50 
2025	$278.8	10.40%	2.46	 $8,358.69 	 $85,986.84 	 $2,828.50 	 $95,444.90 	 $9,278.15 
2026	$299.57	9.01%	2.58	 $9,111.81 	 $88,078.09 	 $2,897.31 	 $97,820.28 	 $10,114.11 
2027	$327.08	9.19%	2.72	 $9,948.74 	 $91,247.33 	 $3,001.56 	 $101,340.06 	 $11,043.10 
2028	$366.95	12.19%	2.95	 $11,161.47 	 $94,416.57 	 $3,105.81 	 $104,859.85 	 $12,389.23 
2029	$391.71	6.75%	3.05	 $11,914.59 	 $97,585.81 	 $3,210.06 	 $108,379.64 	 $13,225.19 
2030	$419.23	7.02%	3.16	 $12,751.52 	 $100,755.05 	 $3,314.31 	 $111,899.42 	 $14,154.19 
2031	$459.10	9.51%	3.36	 $13,964.24 	 $103,924.30 	 $3,418.56 	 $115,419.21 	 $15,500.31 
2032	$483.86	5.39%	3.43	 $14,717.36 	 $107,093.54 	 $3,522.81 	 $118,939.00 	 $16,336.27 
2033	$511.37	5.69%	3.52	 $15,554.29 	 $110,262.78 	 $3,627.07 	 $122,458.79 	 $17,265.27 
2034	$551.24	7.80%	3.69	 $16,767.02 	 $113,432.02 	 $3,731.32 	 $125,978.57 	 $18,611.39 
2035	$576.00	4.49%	3.75	 $17,520.14 	 $116,601.26 	 $3,835.57 	 $129,498.36 	 $19,447.36 
2036	$603.52	4.78%	3.83	 $18,357.07 	 $119,770.50 	 $3,939.82 	 $133,018.15 	 $20,376.35 
2037	$643.39	6.61%	3.98	 $19,569.80 	 $122,939.75 	 $4,044.07 	 $136,537.93 	 $21,722.47 
2038	$668.15	3.85%	4.03	 $20,322.92 	 $126,108.99 	 $4,148.32 	 $140,057.72 	 $22,558.44 
2039	$695.67	4.12%	4.09	 $21,159.85 	 $129,278.23 	 $4,252.57 	 $143,577.51 	 $23,487.43 
2040	$735.54	5.73%	4.22	 $22,372.57 	 $132,447.47 	 $4,356.82 	 $147,097.30 	 $24,833.55 
